date,Python,Machine Learning,AI,Data Science
2025-05-18,7,1,46,1
2025-05-25,6,1,45,1
2025-06-01,6,1,46,1
2025-06-08,7,1,51,1
2025-06-15,7,1,48,1
2025-06-22,7,1,48,1
2025-06-29,6,1,53,1
2025-07-06,6,1,48,1
2025-07-13,6,1,49,1
2025-07-20,7,1,48,1
2025-07-27,7,1,52,1
2025-08-03,8,1,58,1
2025-08-10,9,2,67,1
2025-08-17,9,2,68,1
2025-08-24,8,1,60,1
2025-08-31,9,1,72,1
2025-09-07,8,1,84,1
2025-09-14,8,1,97,1
2025-09-21,8,1,89,1
2025-09-28,8,1,82,1
2025-10-05,8,1,80,1
2025-10-12,8,1,81,1
2025-10-19,8,1,76,1
2025-10-26,8,1,72,1
2025-11-02,8,1,73,1
2025-11-09,8,1,76,1
2025-11-16,8,1,77,1
2025-11-23,8,1,73,1
2025-11-30,8,1,73,1
2025-12-07,7,1,70,1
2025-12-14,7,1,68,1
2025-12-21,5,1,59,1
2025-12-28,5,1,61,1
2026-01-04,6,1,66,1
2026-01-11,7,1,70,1
2026-01-18,8,2,70,1
2026-01-25,8,2,69,1
2026-02-01,8,2,73,1
2026-02-08,10,2,73,1
2026-02-15,9,3,75,1
2026-02-22,8,2,79,1
2026-03-01,8,2,83,1
2026-03-08,8,2,84,1
2026-03-15,8,2,82,1
2026-03-22,9,3,89,1
2026-03-29,10,3,86,1
2026-04-05,9,3,88,1
2026-04-12,10,2,100,1
2026-04-19,8,2,89,1
2026-04-26,9,3,91,1
2026-05-03,10,3,94,1
2026-05-10,6,1,71,1
2026-05-17,6,1,73,1
